"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Jim Hawkins","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41645"
"Jim Henneman","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Jim Ingraham","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41640"
"Jim Street","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","41642"
"Joe Carnicelli","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41630"
"Joe Christensen","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"Joe Haakenson","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41627"
"Joe Henderson","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41621"
"Joe Hoppel","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41645"
"Joe Posnanski","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41642"
