"Aaron Sele","Alan Trammell","Ballot Link","Barry Bonds","Bernie Williams","Craig Biggio","Curt Schilling","Dale Murphy","David Wells","Don Mattingly","Edgar Martinez","Fred McGriff","Jack Morris","Jeff Bagwell","Jeff Cirillo","Jeff Conine","Jose Mesa","Julio Franco","Kenny Lofton","Larry Walker","Lee Smith","Mark McGwire","Mike Piazza","Mike Stanton","Rafael Palmeiro","Reggie Sanders","Roberto Hernandez","Roger Clemens","Rondell White","Royce Clayton","Ryan Klesko","Sammy Sosa","Sandy Alomar Jr","Shawn Green","Steve Finley","Tim Raines","Todd Walker","Total Votes on Ballot","Woody Williams","timestamp"
"Mark Gonzales","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Mark Hale","0","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Mark Herrmann","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Mark Newman","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Mark Purdy","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Mark Saxon","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Mark Zuckerman","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Martin Fennelly","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Marty Noble","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Michael Knisley","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Michael Silverman","0","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Mike Bass","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Mike Bauman","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Mike Fine","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Mike Hart","0","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Mike Hunt","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Mike Imrem","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0"
"Mike Lefkow","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Mike Nadel","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Mike Shalin","0","0","1","1","0","0","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Monte Poole","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Moss Klein","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Murray Chass","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Nick Cafardo","0","1","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Pat Caputo","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Pat Hickey","0","1","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Paul Daugherty","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Paul Hagen","0","0","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Paul Sullivan","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Pedro Gomez","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Peter Abraham","0","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Peter Botte","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Peter Gammons","0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Peter Kerasotis","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
